Country or territory of asylum or residence,Country or territory of origin,Year,Refugees*,Refugees assisted by UNHCR,Total refugees and people in refugee-like situations**,Total refugees and people in refugee-like situations assisted by UNHCR,Total Administrative Cost for Host Country
Afghanistan,Iran (Islamic Rep. of),2021,38,38,38,38,760000
Afghanistan,Pakistan,2021,72188,123,72188,123,1443760000
Albania,China,2021,14,0,14,0,280000
Albania,Egypt,2021,5,0,5,0,100000
Albania,Iraq,2021,5,0,5,0,100000
Albania,Serbia and Kosovo: S/RES/1244 (1999),2021,57,0,57,0,1140000
Albania,State of Palestine,2021,5,0,5,0,100000
Albania,Syrian Arab Rep.,2021,11,0,11,0,220000
Albania,Uzbekistan,2021,5,0,5,0,100000
Albania,Venezuela (Bolivarian Republic of),2021,5,0,5,0,100000
Algeria,Cameroon,2021,128,128,128,128,2560000
Algeria,Central African Rep.,2021,92,92,92,92,1840000
Algeria,Chad,2021,5,5,5,5,100000
Algeria,Côte d'Ivoire,2021,77,77,77,77,1540000
Algeria,Dem. Rep. of the Congo,2021,68,68,68,68,1360000
Algeria,Guinea,2021,37,37,37,37,740000
Algeria,Iraq,2021,14,14,14,14,280000
Algeria,Libya,2021,21,21,21,21,420000
Algeria,Mali,2021,160,160,160,160,3200000
Algeria,Niger,2021,8,8,8,8,160000
Algeria,Nigeria,2021,5,5,5,5,100000
Algeria,State of Palestine,2021,186,186,186,186,3720000
Algeria,Sudan,2021,16,16,16,16,320000
Algeria,Syrian Arab Rep.,2021,6750,6750,6750,6750,135000000
Algeria,Western Sahara,2021,90000,90000,90000,90000,1800000000
Algeria,Yemen,2021,243,243,243,243,4860000
Angola,Burundi,2021,18,18,18,18,360000
Angola,Central African Rep.,2021,7,7,7,7,140000
Angola,Chad,2021,189,17,189,17,3780000
Angola,"Congo, Republic of",2021,65,0,65,0,1300000
Angola,Côte d'Ivoire,2021,417,90,417,90,8340000
Angola,Dem. Rep. of the Congo,2021,23048,10602,23048,10602,460960000
Angola,Eritrea,2021,78,18,78,18,1560000
Angola,Guinea,2021,128,125,128,125,2560000
Angola,Guinea-Bissau,2021,7,0,7,0,140000
Angola,Liberia,2021,164,164,164,164,3280000
Angola,Mauritania,2021,323,36,323,36,6460000
Angola,Rwanda,2021,503,503,503,503,10060000
Angola,Sierra Leone,2021,413,413,413,413,8260000
Angola,Somalia,2021,271,17,271,17,5420000
Angola,Sudan,2021,279,10,279,10,5580000
Angola,United Rep. of Tanzania,2021,5,0,5,0,100000
Angola,Western Sahara,2021,16,0,16,0,320000
Argentina,Afghanistan,2021,12,0,12,0,240000
Argentina,Albania,2021,18,0,18,0,360000
Argentina,Algeria,2021,30,0,30,0,600000
Argentina,Angola,2021,14,0,14,0,280000
Argentina,Armenia,2021,77,0,77,0,1540000
Argentina,Bangladesh,2021,5,0,5,0,100000
Argentina,Bolivia (Plurinational State of),2021,63,0,63,0,1260000
Argentina,Bosnia and Herzegovina,2021,6,0,6,0,120000
Argentina,Burundi,2021,5,0,5,0,100000
Argentina,Cameroon,2021,7,0,7,0,140000
Argentina,Chile,2021,34,0,34,0,680000
Argentina,Colombia,2021,562,7,562,7,11240000
Argentina,Costa Rica,2021,5,0,5,0,100000
Argentina,Côte d'Ivoire,2021,20,0,20,0,400000
Argentina,Cuba,2021,262,0,262,0,5240000
Argentina,Dem. Rep. of the Congo,2021,26,0,26,0,520000
Argentina,Dominican Rep.,2021,6,0,6,0,120000
Argentina,Ecuador,2021,16,0,16,0,320000
Argentina,Egypt,2021,5,0,5,0,100000
Argentina,El Salvador,2021,47,0,47,0,940000
Argentina,Ethiopia,2021,5,0,5,0,100000
Argentina,Georgia,2021,5,0,5,0,100000
Argentina,Ghana,2021,38,0,38,0,760000
Argentina,Guatemala,2021,8,0,8,0,160000
Argentina,Guinea,2021,10,0,10,0,200000
Argentina,Guinea-Bissau,2021,8,0,8,0,160000
Argentina,Haiti,2021,76,0,76,0,1520000
Argentina,Honduras,2021,5,0,5,0,100000
Argentina,India,2021,23,0,23,0,460000
Argentina,Iran (Islamic Rep. of),2021,30,0,30,0,600000
Argentina,Iraq,2021,22,0,22,0,440000
Argentina,Jamaica,2021,13,0,13,0,260000
Argentina,Jordan,2021,5,0,5,0,100000
Argentina,Kazakhstan,2021,18,0,18,0,360000
Argentina,Kyrgyzstan,2021,5,0,5,0,100000
Argentina,Liberia,2021,42,0,42,0,840000
Argentina,Libya,2021,5,0,5,0,100000
Argentina,Mali,2021,9,0,9,0,180000
Argentina,Nicaragua,2021,16,0,16,0,320000
Argentina,Nigeria,2021,42,0,42,0,840000
Argentina,North Macedonia,2021,9,0,9,0,180000
Argentina,Pakistan,2021,39,0,39,0,780000
Argentina,Paraguay,2021,18,0,18,0,360000
Argentina,Peru,2021,546,0,546,0,10920000
Argentina,Romania,2021,51,0,51,0,1020000
Argentina,Russian Federation,2021,81,0,81,0,1620000
Argentina,Senegal,2021,43,0,43,0,860000
Argentina,Sierra Leone,2021,37,0,37,0,740000
Argentina,Somalia,2021,5,0,5,0,100000
Argentina,Sri Lanka,2021,36,0,36,0,720000
Argentina,State of Palestine,2021,19,0,19,0,380000
Argentina,Sudan,2021,5,0,5,0,100000
Argentina,Syrian Arab Rep.,2021,409,0,409,0,8180000
Argentina,Turkey,2021,7,0,7,0,140000
Argentina,Ukraine,2021,120,0,120,0,2400000
Argentina,United States of America,2021,5,0,5,0,100000
Argentina,Unknown/other,2021,642,0,642,0,12840000
Argentina,Venezuela (Bolivarian Republic of),2021,311,20,311,20,6220000
Argentina,Yemen,2021,19,0,19,0,380000
Armenia,Afghanistan,2021,5,0,5,0,100000
Armenia,Azerbaijan,2021,1212,1212,38774,27540,24240000
Armenia,"Congo, Republic of",2021,5,5,5,5,100000
Armenia,Côte d'Ivoire,2021,6,0,6,0,120000
Armenia,Egypt,2021,5,5,5,5,100000
Armenia,Georgia,2021,8,0,8,0,160000
Armenia,Iran (Islamic Rep. of),2021,123,94,123,94,2460000
Armenia,Iraq,2021,1092,98,1092,98,21840000
Armenia,Lebanon,2021,26,0,26,0,520000
Armenia,Nigeria,2021,5,5,5,5,100000
Armenia,State of Palestine,2021,7,0,7,0,140000
Armenia,Syrian Arab Rep.,2021,744,152,5205,4613,14880000
Armenia,Turkey,2021,16,5,16,5,320000
Armenia,Ukraine,2021,117,42,117,42,2340000
Armenia,Yemen,2021,21,12,21,12,420000
Australia,Afghanistan,2021,10108,0,10108,0,202160000
Australia,Albania,2021,41,0,41,0,820000
Australia,Algeria,2021,8,0,8,0,160000
Australia,Azerbaijan,2021,9,0,9,0,180000
Australia,Bahrain,2021,68,0,68,0,1360000
Australia,Bangladesh,2021,409,0,409,0,8180000
Australia,Belarus,2021,6,0,6,0,120000
Australia,Bhutan,2021,5,0,5,0,100000
Australia,Brazil,2021,8,0,8,0,160000
Australia,Burundi,2021,48,0,48,0,960000
Australia,Cambodia,2021,68,0,68,0,1360000
Australia,Cameroon,2021,29,0,29,0,580000
Australia,China,2021,1671,0,1671,0,33420000
Australia,"China, Hong Kong SAR",2021,5,0,5,0,100000
Australia,Colombia,2021,96,0,96,0,1920000
Australia,"Congo, Republic of",2021,16,0,16,0,320000
Australia,Dem. People's Rep. of Korea,2021,5,0,5,0,100000
Australia,Dem. Rep. of the Congo,2021,64,0,64,0,1280000
Australia,Djibouti,2021,5,0,5,0,100000
Australia,Egypt,2021,1396,0,1396,0,27920000
Australia,El Salvador,2021,12,0,12,0,240000
Australia,Eritrea,2021,107,0,107,0,2140000
Australia,Ethiopia,2021,314,0,314,0,6280000
Australia,Fiji,2021,312,0,312,0,6240000
Australia,Gambia,2021,8,0,8,0,160000
Australia,Georgia,2021,13,0,13,0,260000
Australia,Germany,2021,10,0,10,0,200000
Australia,Ghana,2021,35,0,35,0,700000
Australia,Greece,2021,6,0,6,0,120000
Australia,Guinea,2021,8,0,8,0,160000
Australia,Honduras,2021,5,0,5,0,100000
Australia,India,2021,468,0,468,0,9360000
Australia,Indonesia,2021,240,0,240,0,4800000
Australia,Iran (Islamic Rep. of),2021,12701,0,12701,0,254020000
Australia,Iraq,2021,4692,0,4692,0,93840000
Australia,Israel,2021,9,0,9,0,180000
Australia,Italy,2021,5,0,5,0,100000
Australia,Jamaica,2021,5,0,5,0,100000
Australia,Japan,2021,10,0,10,0,200000
Australia,Jordan,2021,134,0,134,0,2680000
Australia,Kazakhstan,2021,5,0,5,0,100000
Australia,Kenya,2021,99,0,99,0,1980000
Australia,Kuwait,2021,35,0,35,0,700000
Australia,Kyrgyzstan,2021,12,0,12,0,240000
Australia,Lao People's Dem. Rep.,2021,5,0,5,0,100000
Australia,Lebanon,2021,511,0,511,0,10220000
Australia,Liberia,2021,44,0,44,0,880000
Australia,Libya,2021,1246,0,1246,0,24920000
Australia,Malaysia,2021,644,0,644,0,12880000
Australia,Maldives,2021,14,0,14,0,280000
Australia,Mauritius,2021,10,0,10,0,200000
Australia,Mexico,2021,14,0,14,0,280000
Australia,Mongolia,2021,16,0,16,0,320000
Australia,Morocco,2021,12,0,12,0,240000
Australia,Myanmar,2021,440,0,440,0,8800000
Australia,Nauru,2021,5,0,5,0,100000
Australia,Nepal,2021,113,0,113,0,2260000
Australia,New Zealand,2021,26,0,26,0,520000
Australia,Nigeria,2021,238,0,238,0,4760000
Australia,North Macedonia,2021,5,0,5,0,100000
Australia,Oman,2021,5,0,5,0,100000
Australia,Pakistan,2021,5400,0,5400,0,108000000
Australia,Papua New Guinea,2021,493,0,493,0,9860000
Australia,Peru,2021,19,0,19,0,380000
Australia,Philippines,2021,45,0,45,0,900000
Australia,Rep. of Korea,2021,26,0,26,0,520000
Australia,Russian Federation,2021,55,0,55,0,1100000
Australia,Rwanda,2021,92,0,92,0,1840000
Australia,Saudi Arabia,2021,201,0,201,0,4020000
Australia,Sierra Leone,2021,31,0,31,0,620000
Australia,Singapore,2021,6,0,6,0,120000
Australia,Solomon Islands,2021,25,0,25,0,500000
Australia,Somalia,2021,528,0,528,0,10560000
Australia,South Africa,2021,29,0,29,0,580000
Australia,South Sudan,2021,20,0,20,0,400000
Australia,Sri Lanka,2021,4072,0,4072,0,81440000
Australia,State of Palestine,2021,490,0,490,0,9800000
Australia,Stateless,2021,3616,0,3616,0,72320000
Australia,Sudan,2021,557,0,557,0,11140000
Australia,Syrian Arab Rep.,2021,639,0,639,0,12780000
Australia,Thailand,2021,22,0,22,0,440000
Australia,Timor-Leste,2021,6,0,6,0,120000
Australia,Tonga,2021,31,0,31,0,620000
Australia,Turkey,2021,825,0,825,0,16500000
Australia,Uganda,2021,60,0,60,0,1200000
Australia,Ukraine,2021,21,0,21,0,420000
Australia,United Arab Emirates,2021,5,0,5,0,100000
Australia,United Kingdom,2021,5,0,5,0,100000
Australia,United Rep. of Tanzania,2021,8,0,8,0,160000
Australia,United States of America,2021,17,0,17,0,340000
Australia,Unknown/other,2021,1191,0,1191,0,23820000
Australia,Uzbekistan,2021,20,0,20,0,400000
Australia,Venezuela (Bolivarian Republic of),2021,142,0,142,0,2840000
Australia,Viet Nam,2021,314,0,314,0,6280000
Australia,Yemen,2021,165,0,165,0,3300000
Australia,Zambia,2021,16,0,16,0,320000
Australia,Zimbabwe,2021,369,0,369,0,7380000
Austria,Afghanistan,2021,41037,0,41037,0,820740000
Austria,Albania,2021,55,0,55,0,1100000
Austria,Algeria,2021,30,0,30,0,600000
Austria,Angola,2021,43,0,43,0,860000
Austria,Armenia,2021,345,0,345,0,6900000
Austria,Azerbaijan,2021,163,0,163,0,3260000
Austria,Bangladesh,2021,349,0,349,0,6980000
Austria,Belarus,2021,34,0,34,0,680000
Austria,Benin,2021,5,0,5,0,100000
Austria,Bosnia and Herzegovina,2021,62,0,62,0,1240000
Austria,Burkina Faso,2021,5,0,5,0,100000
Austria,Burundi,2021,15,0,15,0,300000
Austria,Cameroon,2021,190,0,190,0,3800000
Austria,Canada,2021,5,0,5,0,100000
Austria,China,2021,651,0,651,0,13020000
Austria,"Congo, Republic of",2021,90,0,90,0,1800000
Austria,Côte d'Ivoire,2021,55,0,55,0,1100000
Austria,Cuba,2021,16,0,16,0,320000
Austria,Dem. Rep. of the Congo,2021,337,0,337,0,6740000
Austria,Egypt,2021,221,0,221,0,4420000
Austria,Eritrea,2021,450,0,450,0,9000000
Austria,Ethiopia,2021,232,0,232,0,4640000
Austria,Gabon,2021,5,0,5,0,100000
Austria,Gambia,2021,112,0,112,0,2240000
Austria,Georgia,2021,323,0,323,0,6460000
Austria,Ghana,2021,17,0,17,0,340000
Austria,Guatemala,2021,6,0,6,0,120000
Austria,Guinea,2021,132,0,132,0,2640000
Austria,Guinea-Bissau,2021,5,0,5,0,100000
Austria,India,2021,40,0,40,0,800000
Austria,Iran (Islamic Rep. of),2021,7046,0,7046,0,140920000
Austria,Iraq,2021,9661,0,9661,0,193220000
Austria,Israel,2021,10,0,10,0,200000
Austria,Jordan,2021,77,0,77,0,1540000
Austria,Kazakhstan,2021,112,0,112,0,2240000
Austria,Kenya,2021,21,0,21,0,420000
Austria,Kuwait,2021,10,0,10,0,200000
Austria,Kyrgyzstan,2021,136,0,136,0,2720000
Austria,Lebanon,2021,120,0,120,0,2400000
Austria,Liberia,2021,10,0,10,0,200000
Austria,Libya,2021,140,0,140,0,2800000
Austria,Mali,2021,14,0,14,0,280000
Austria,Mauritania,2021,5,0,5,0,100000
Austria,Mongolia,2021,128,0,128,0,2560000
Austria,Montenegro,2021,5,0,5,0,100000
Austria,Morocco,2021,40,0,40,0,800000
Austria,Myanmar,2021,33,0,33,0,660000
Austria,Nepal,2021,19,0,19,0,380000
Austria,Nicaragua,2021,5,0,5,0,100000
Austria,Nigeria,2021,409,0,409,0,8180000
Austria,North Macedonia,2021,15,0,15,0,300000
Austria,Pakistan,2021,357,0,357,0,7140000
Austria,Philippines,2021,18,0,18,0,360000
Austria,Rep. of Moldova,2021,22,0,22,0,440000
Austria,Romania,2021,5,0,5,0,100000
Austria,Russian Federation,2021,7003,0,7003,0,140060000
Austria,Rwanda,2021,13,0,13,0,260000
Austria,Saudi Arabia,2021,6,0,6,0,120000
Austria,Senegal,2021,14,0,14,0,280000
Austria,Serbia and Kosovo: S/RES/1244 (1999),2021,503,0,503,0,10060000
Austria,Sierra Leone,2021,20,0,20,0,400000
Austria,Somalia,2021,8212,0,8212,0,164240000
Austria,South Sudan,2021,6,0,6,0,120000
Austria,Sri Lanka,2021,68,0,68,0,1360000
Austria,Stateless,2021,2072,0,2072,0,41440000
Austria,Sudan,2021,314,0,314,0,6280000
Austria,Syrian Arab Rep.,2021,57887,0,57887,0,1157740000
Austria,Tajikistan,2021,255,0,255,0,5100000
Austria,Togo,2021,6,0,6,0,120000
Austria,Tunisia,2021,8,0,8,0,160000
Austria,Turkey,2021,616,0,616,0,12320000
Austria,Turkmenistan,2021,8,0,8,0,160000
Austria,Uganda,2021,32,0,32,0,640000
Austria,Ukraine,2021,244,0,244,0,4880000
Austria,United States of America,2021,5,0,5,0,100000
Austria,Unknown/other,2021,4767,0,4767,0,95340000
Austria,Uzbekistan,2021,48,0,48,0,960000
Austria,Venezuela (Bolivarian Republic of),2021,76,0,76,0,1520000
Austria,Viet Nam,2021,5,0,5,0,100000
Austria,Yemen,2021,379,0,379,0,7580000
Austria,Zambia,2021,5,0,5,0,100000
Austria,Zimbabwe,2021,5,0,5,0,100000
Belgium,Afghanistan,2021,4619,0,4619,0,92380000
Azerbaijan,Iran (Islamic Rep. of),2021,45,45,45,45,900000
Azerbaijan,Iraq,2021,10,10,10,10,200000
Azerbaijan,Libya,2021,5,5,5,5,100000
Azerbaijan,Pakistan,2021,44,44,44,44,880000
Azerbaijan,Russian Federation,2021,324,324,324,324,6480000
Azerbaijan,State of Palestine,2021,5,5,5,5,100000
Azerbaijan,Syrian Arab Rep.,2021,35,35,35,35,700000
Azerbaijan,Ukraine,2021,5,5,5,5,100000
Azerbaijan,Uzbekistan,2021,5,5,5,5,100000
Azerbaijan,Yemen,2021,16,16,16,16,320000
Bahamas,Cambodia,2021,5,0,5,0,100000
Bahamas,Colombia,2021,5,0,5,0,100000
Bahamas,Cuba,2021,5,0,5,0,100000
Bahamas,Jamaica,2021,5,0,5,0,100000
Bahrain,Iraq,2021,242,242,242,242,4840000
Bahrain,Yemen,2021,9,9,9,9,180000
Bangladesh,Myanmar,2021,889764,889764,889764,889764,17795280000
Bangladesh,Somalia,2021,11,11,11,11,220000
Bulgaria,Afghanistan,2021,246,0,246,0,4920000
Belarus,Armenia,2021,5,5,5,5,100000
Belarus,Azerbaijan,2021,5,0,5,0,100000
Belarus,Cameroon,2021,5,0,5,0,100000
Belarus,Ethiopia,2021,5,0,5,0,100000
Belarus,Georgia,2021,49,0,49,0,980000
Belarus,Iran (Islamic Rep. of),2021,5,0,5,0,100000
Belarus,Iraq,2021,11,0,11,0,220000
Belarus,Lebanon,2021,5,0,5,0,100000
Belarus,Libya,2021,7,0,7,0,140000
Belarus,Russian Federation,2021,5,5,5,5,100000
Belarus,State of Palestine,2021,5,0,5,0,100000
Belarus,Syrian Arab Rep.,2021,69,22,69,22,1380000
Belarus,Tajikistan,2021,11,0,11,0,220000
Belarus,Turkey,2021,9,5,9,5,180000
Belarus,Ukraine,2021,2490,332,2490,332,49800000
Belarus,Yemen,2021,31,9,31,9,620000
Canada,Afghanistan,2021,2416,0,2416,0,48320000
Belgium,Albania,2021,632,0,632,0,12640000
Belgium,Algeria,2021,74,0,74,0,1480000
Belgium,Angola,2021,90,0,90,0,1800000
Belgium,Armenia,2021,134,0,134,0,2680000
Belgium,Azerbaijan,2021,87,0,87,0,1740000
Belgium,Bangladesh,2021,21,0,21,0,420000
Belgium,Belarus,2021,35,0,35,0,700000
Belgium,Benin,2021,37,0,37,0,740000
Belgium,Bosnia and Herzegovina,2021,44,0,44,0,880000
Belgium,Brazil,2021,12,0,12,0,240000
Belgium,Bulgaria,2021,17,0,17,0,340000
Belgium,Burkina Faso,2021,96,0,96,0,1920000
Belgium,Burundi,2021,1804,0,1804,0,36080000
Belgium,Cambodia,2021,13,0,13,0,260000
Belgium,Cameroon,2021,494,0,494,0,9880000
Belgium,Central African Rep.,2021,64,0,64,0,1280000
Belgium,Chad,2021,45,0,45,0,900000
Belgium,Chile,2021,43,0,43,0,860000
Belgium,China,2021,1137,0,1137,0,22740000
Belgium,Colombia,2021,136,0,136,0,2720000
Belgium,"Congo, Republic of",2021,24,0,24,0,480000
Belgium,Côte d'Ivoire,2021,220,0,220,0,4400000
Belgium,Croatia,2021,5,0,5,0,100000
Belgium,Cuba,2021,11,0,11,0,220000
Belgium,Czechia,2021,5,0,5,0,100000
Belgium,Dem. People's Rep. of Korea,2021,29,0,29,0,580000
Belgium,Dem. Rep. of the Congo,2021,1509,0,1509,0,30180000
Belgium,Djibouti,2021,360,0,360,0,7200000
Belgium,Egypt,2021,99,0,99,0,1980000
Belgium,El Salvador,2021,468,0,468,0,9360000
Belgium,Eritrea,2021,2846,0,2846,0,56920000
Belgium,Ethiopia,2021,174,0,174,0,3480000
Belgium,Gabon,2021,26,0,26,0,520000
Belgium,Gambia,2021,34,0,34,0,680000
Belgium,Georgia,2021,147,0,147,0,2940000
Belgium,Ghana,2021,18,0,18,0,360000
Belgium,Guatemala,2021,39,0,39,0,780000
Belgium,Guinea,2021,3485,0,3485,0,69700000
Belgium,Guinea-Bissau,2021,7,0,7,0,140000
Belgium,Haiti,2021,5,0,5,0,100000
Belgium,Honduras,2021,18,0,18,0,360000
Belgium,Hungary,2021,29,0,29,0,580000
Belgium,India,2021,13,0,13,0,260000
Belgium,Iran (Islamic Rep. of),2021,1648,0,1648,0,32960000
Belgium,Iraq,2021,5094,0,5094,0,101880000
Belgium,Jamaica,2021,5,0,5,0,100000
Belgium,Jordan,2021,24,0,24,0,480000
Belgium,Kazakhstan,2021,53,0,53,0,1060000
Belgium,Kenya,2021,12,0,12,0,240000
Belgium,Kuwait,2021,5,0,5,0,100000
Belgium,Kyrgyzstan,2021,69,0,69,0,1380000
Belgium,Lao People's Dem. Rep.,2021,9,0,9,0,180000
Belgium,Lebanon,2021,104,0,104,0,2080000
Belgium,Liberia,2021,13,0,13,0,260000
Belgium,Libya,2021,74,0,74,0,1480000
Belgium,Lithuania,2021,5,0,5,0,100000
Belgium,Mali,2021,97,0,97,0,1940000
Belgium,Mauritania,2021,258,0,258,0,5160000
Belgium,Montenegro,2021,12,0,12,0,240000
Belgium,Morocco,2021,142,0,142,0,2840000
Belgium,Myanmar,2021,8,0,8,0,160000
Belgium,Nepal,2021,6,0,6,0,120000
Belgium,Nicaragua,2021,17,0,17,0,340000
Belgium,Niger,2021,124,0,124,0,2480000
Belgium,Nigeria,2021,52,0,52,0,1040000
Belgium,North Macedonia,2021,118,0,118,0,2360000
Belgium,Pakistan,2021,287,0,287,0,5740000
Belgium,Poland,2021,95,0,95,0,1900000
Belgium,Rep. of Moldova,2021,5,0,5,0,100000
Belgium,Romania,2021,36,0,36,0,720000
Belgium,Russian Federation,2021,2484,0,2484,0,49680000
Belgium,Rwanda,2021,768,0,768,0,15360000
Belgium,Saudi Arabia,2021,5,0,5,0,100000
Belgium,Senegal,2021,361,0,361,0,7220000
Belgium,Serbia and Kosovo: S/RES/1244 (1999),2021,362,0,362,0,7240000
Belgium,Sierra Leone,2021,27,0,27,0,540000
Belgium,Somalia,2021,2294,0,2294,0,45880000
Belgium,South Sudan,2021,6,0,6,0,120000
Belgium,Sri Lanka,2021,266,0,266,0,5320000
Belgium,State of Palestine,2021,1773,0,1773,0,35460000
Belgium,Stateless,2021,292,0,292,0,5840000
Belgium,Sudan,2021,264,0,264,0,5280000
Belgium,Syrian Arab Rep.,2021,18493,0,18493,0,369860000
Belgium,Tajikistan,2021,12,0,12,0,240000
Belgium,Togo,2021,156,0,156,0,3120000
Belgium,Tunisia,2021,57,0,57,0,1140000
Belgium,Turkey,2021,2807,0,2807,0,56140000
Belgium,Uganda,2021,21,0,21,0,420000
Belgium,Ukraine,2021,254,0,254,0,5080000
Belgium,United Rep. of Tanzania,2021,41,0,41,0,820000
Belgium,Unknown/other,2021,6998,0,6998,0,139960000
Belgium,Uzbekistan,2021,37,0,37,0,740000
Belgium,Venezuela (Bolivarian Republic of),2021,429,0,429,0,8580000
Belgium,Viet Nam,2021,21,0,21,0,420000
Belgium,Yemen,2021,95,0,95,0,1900000
Belize,El Salvador,2021,52,0,52,0,1040000
Belize,Honduras,2021,8,0,8,0,160000
Belize,Nicaragua,2021,5,0,5,0,100000
Benin,Burundi,2021,7,7,7,7,140000
Benin,Cameroon,2021,38,38,38,38,760000
Benin,Central African Rep.,2021,1070,1070,1070,1070,21400000
Benin,Chad,2021,15,15,15,15,300000
Benin,Côte d'Ivoire,2021,168,168,168,168,3360000
Benin,Dem. Rep. of the Congo,2021,12,12,12,12,240000
Benin,Eritrea,2021,5,5,5,5,100000
Benin,Mali,2021,38,38,38,38,760000
Benin,Pakistan,2021,5,5,5,5,100000
Benin,Sri Lanka,2021,5,5,5,5,100000
Benin,Sudan,2021,13,13,13,13,260000
Benin,Syrian Arab Rep.,2021,27,27,27,27,540000
Benin,Turkey,2021,10,10,10,10,200000
Benin,Yemen,2021,14,14,14,14,280000
Bolivia (Plurinational State of),Argentina,2021,13,0,13,0,260000
Bolivia (Plurinational State of),Colombia,2021,201,5,201,5,4020000
Bolivia (Plurinational State of),Côte d'Ivoire,2021,5,5,5,5,100000
Bolivia (Plurinational State of),Cuba,2021,48,0,48,0,960000
Bolivia (Plurinational State of),Ecuador,2021,5,0,5,0,100000
Bolivia (Plurinational State of),Iraq,2021,16,0,16,0,320000
Bolivia (Plurinational State of),Niger,2021,5,0,5,0,100000
Bolivia (Plurinational State of),Pakistan,2021,5,0,5,0,100000
Bolivia (Plurinational State of),Peru,2021,524,0,524,0,10480000
Bolivia (Plurinational State of),Russian Federation,2021,14,0,14,0,280000
Bolivia (Plurinational State of),Syrian Arab Rep.,2021,22,5,22,5,440000
Bolivia (Plurinational State of),Ukraine,2021,5,0,5,0,100000
Bolivia (Plurinational State of),Uruguay,2021,10,0,10,0,200000
Bolivia (Plurinational State of),Venezuela (Bolivarian Republic of),2021,243,107,243,107,4860000
Bosnia and Herzegovina,Azerbaijan,2021,5,5,5,5,100000
Bosnia and Herzegovina,Croatia,2021,312,312,312,312,6240000
Bosnia and Herzegovina,Serbia and Kosovo: S/RES/1244 (1999),2021,51,51,51,51,1020000
Bosnia and Herzegovina,Syrian Arab Rep.,2021,25,25,25,25,500000
Bosnia and Herzegovina,Turkey,2021,23,23,23,23,460000
Botswana,Burundi,2021,58,58,58,58,1160000
Botswana,Dem. Rep. of the Congo,2021,199,199,199,199,3980000
Botswana,Ethiopia,2021,5,5,5,5,100000
Botswana,Kenya,2021,5,5,5,5,100000
Botswana,Namibia,2021,6,6,6,6,120000
Botswana,Rwanda,2021,17,17,17,17,340000
Botswana,Somalia,2021,308,308,308,308,6160000
Botswana,South Sudan,2021,5,5,5,5,100000
Botswana,Sudan,2021,5,5,5,5,100000
Botswana,Uganda,2021,19,19,19,19,380000
Botswana,Zimbabwe,2021,17,17,17,17,340000
Chile,Afghanistan,2021,13,0,13,0,260000
Brazil,Algeria,2021,8,0,8,0,160000
Brazil,Angola,2021,1155,171,1155,171,23100000
Brazil,Argentina,2021,6,0,6,0,120000
Brazil,Armenia,2021,5,0,5,0,100000
Brazil,Bangladesh,2021,21,0,21,0,420000
Brazil,Bhutan,2021,30,0,30,0,600000
Brazil,Bolivia (Plurinational State of),2021,154,0,154,0,3080000
Brazil,Bosnia and Herzegovina,2021,5,0,5,0,100000
Brazil,Burkina Faso,2021,5,0,5,0,100000
Brazil,Burundi,2021,46,0,46,0,920000
Brazil,Cameroon,2021,81,17,81,17,1620000
Brazil,Central African Rep.,2021,5,0,5,0,100000
Brazil,Chile,2021,21,0,21,0,420000
Brazil,China,2021,17,0,17,0,340000
Brazil,Colombia,2021,1298,65,1298,65,25960000
Brazil,"Congo, Republic of",2021,20,0,20,0,400000
Brazil,Côte d'Ivoire,2021,55,5,55,5,1100000
Brazil,Croatia,2021,5,0,5,0,100000
Brazil,Cuba,2021,584,32,584,32,11680000
Brazil,Dem. Rep. of the Congo,2021,1682,538,1682,538,33640000
Brazil,Dominican Rep.,2021,6,0,6,0,120000
Brazil,Ecuador,2021,58,0,58,0,1160000
Brazil,Egypt,2021,60,7,60,7,1200000
Brazil,El Salvador,2021,59,16,59,16,1180000
Brazil,Eritrea,2021,25,0,25,0,500000
Brazil,Ethiopia,2021,27,0,27,0,540000
Brazil,Gambia,2021,6,0,6,0,120000
Brazil,Georgia,2021,10,0,10,0,200000
Brazil,Ghana,2021,38,5,38,5,760000
Brazil,Guinea,2021,109,25,109,25,2180000
Brazil,Guinea-Bissau,2021,24,0,24,0,480000
Brazil,Guyana,2021,5,0,5,0,100000
Brazil,Haiti,2021,8,0,8,0,160000
Brazil,Honduras,2021,5,0,5,0,100000
Brazil,Hungary,2021,5,0,5,0,100000
Brazil,India,2021,12,0,12,0,240000
Brazil,Iran (Islamic Rep. of),2021,69,8,69,8,1380000
Brazil,Iraq,2021,314,28,314,28,6280000
Brazil,Jordan,2021,12,0,12,0,240000
Brazil,Kenya,2021,10,0,10,0,200000
Brazil,Lebanon,2021,412,8,412,8,8240000
Brazil,Liberia,2021,259,0,259,0,5180000
Brazil,Libya,2021,6,6,6,6,120000
Brazil,Mali,2021,93,26,93,26,1860000
Brazil,Mauritania,2021,58,40,58,40,1160000
Brazil,Mexico,2021,8,0,8,0,160000
Brazil,Morocco,2021,28,5,28,5,560000
Brazil,Nepal,2021,12,0,12,0,240000
Brazil,Nicaragua,2021,5,0,5,0,100000
Brazil,Nigeria,2021,144,11,144,11,2880000
Brazil,North Macedonia,2021,6,0,6,0,120000
